label	ENSMUSG00000000301.16	ENSMUSG00000003051.13	ENSMUSG00000004359.16	ENSMUSG00000004610.4	ENSMUSG00000005054.6	ENSMUSG00000006056.13	ENSMUSG00000006356.10	ENSMUSG00000006360.11	ENSMUSG00000008668.14	ENSMUSG00000014503.14	ENSMUSG00000015656.16	ENSMUSG00000017009.3	ENSMUSG00000018593.12	ENSMUSG00000019139.9	ENSMUSG00000020407.13	ENSMUSG00000020633.13	ENSMUSG00000020644.8	ENSMUSG00000021395.10	ENSMUSG00000021456.7	ENSMUSG00000021520.4	ENSMUSG00000021591.7	ENSMUSG00000023043.6	ENSMUSG00000025351.13	ENSMUSG00000025815.13	ENSMUSG00000026031.15	ENSMUSG00000026246.12	ENSMUSG00000026547.15	ENSMUSG00000027533.10	ENSMUSG00000027907.4	ENSMUSG00000028494.12	ENSMUSG00000028617.10	ENSMUSG00000028773.8	ENSMUSG00000029223.12	ENSMUSG00000029304.14	ENSMUSG00000029394.11	ENSMUSG00000029580.14	ENSMUSG00000029614.13	ENSMUSG00000029762.6	ENSMUSG00000030246.11	ENSMUSG00000030532.6	ENSMUSG00000030672.12	ENSMUSG00000030744.13	ENSMUSG00000031765.7	ENSMUSG00000031812.16	ENSMUSG00000031843.1	ENSMUSG00000031950.7	ENSMUSG00000032056.9	ENSMUSG00000032191.5	ENSMUSG00000032348.5	ENSMUSG00000032623.9	ENSMUSG00000032788.14	ENSMUSG00000033213.16	ENSMUSG00000034127.14	ENSMUSG00000034391.10	ENSMUSG00000034892.8	ENSMUSG00000035191.15	ENSMUSG00000036036.15	ENSMUSG00000038217.13	ENSMUSG00000038750.12	ENSMUSG00000038925.12	ENSMUSG00000039103.12	ENSMUSG00000039307.16	ENSMUSG00000039382.12	ENSMUSG00000040413.15	ENSMUSG00000040952.16	ENSMUSG00000041359.14	ENSMUSG00000041583.8	ENSMUSG00000041857.10	ENSMUSG00000041966.18	ENSMUSG00000041995.7	ENSMUSG00000043716.13	ENSMUSG00000044712.15	ENSMUSG00000045104.8	ENSMUSG00000045291.8	ENSMUSG00000046323.8	ENSMUSG00000047215.14	ENSMUSG00000048108.13	ENSMUSG00000049382.9	ENSMUSG00000049775.16	ENSMUSG00000050621.6	ENSMUSG00000050737.13	ENSMUSG00000050810.8	ENSMUSG00000051159.16	ENSMUSG00000052477.15	ENSMUSG00000053964.17	ENSMUSG00000053965.10	ENSMUSG00000054310.16	ENSMUSG00000055933.13	ENSMUSG00000057657.3	ENSMUSG00000057666.18	ENSMUSG00000060143.6	ENSMUSG00000060461.5	ENSMUSG00000061787.15	ENSMUSG00000062081.6	ENSMUSG00000062275.7	ENSMUSG00000062825.15	ENSMUSG00000062867.13	ENSMUSG00000064010.12	ENSMUSG00000065353.1	ENSMUSG00000066359.5	ENSMUSG00000066463.12	ENSMUSG00000066478.3	ENSMUSG00000068220.5	ENSMUSG00000069117.3	ENSMUSG00000069324.5	ENSMUSG00000069678.10	ENSMUSG00000069682.5	ENSMUSG00000070034.13	ENSMUSG00000071041.4	ENSMUSG00000071644.10	ENSMUSG00000073294.4	ENSMUSG00000073628.5	ENSMUSG00000074207.10	ENSMUSG00000074365.13	ENSMUSG00000074501.5	ENSMUSG00000074768.5	ENSMUSG00000074783.10	ENSMUSG00000075023.11	ENSMUSG00000075706.10	ENSMUSG00000076441.9	ENSMUSG00000076937.3	ENSMUSG00000078238.4	ENSMUSG00000078636.4	ENSMUSG00000079042.9	ENSMUSG00000079162.8	ENSMUSG00000079192.2	ENSMUSG00000079808.3	ENSMUSG00000080241.3	ENSMUSG00000080921.4	ENSMUSG00000080970.1	ENSMUSG00000081249.3	ENSMUSG00000081586.3	ENSMUSG00000081766.3	ENSMUSG00000082475.1	ENSMUSG00000083068.1	ENSMUSG00000083410.1	ENSMUSG00000084034.1	ENSMUSG00000084349.3	ENSMUSG00000084353.1	ENSMUSG00000084824.1	ENSMUSG00000085079.3	ENSMUSG00000085973.1	ENSMUSG00000086130.1	ENSMUSG00000089716.7	ENSMUSG00000090467.3	ENSMUSG00000090693.3	ENSMUSG00000091269.1	ENSMUSG00000092341.2	ENSMUSG00000092358.1	ENSMUSG00000092806.2	ENSMUSG00000093674.7	ENSMUSG00000094005.1	ENSMUSG00000094041.1	ENSMUSG00000094467.1	ENSMUSG00000094484.2	ENSMUSG00000094708.1	ENSMUSG00000094807.2	ENSMUSG00000095136.1	ENSMUSG00000095291.1	ENSMUSG00000095434.1	ENSMUSG00000095672.1	ENSMUSG00000095674.1	ENSMUSG00000095680.1	ENSMUSG00000095799.1	ENSMUSG00000095937.1	ENSMUSG00000096276.8	ENSMUSG00000096363.1	ENSMUSG00000096483.1	ENSMUSG00000096528.1	ENSMUSG00000096544.2	ENSMUSG00000096745.1	ENSMUSG00000099021.1	ENSMUSG00000099250.1	ENSMUSG00000099693.1	ENSMUSG00000100755.1	ENSMUSG00000100862.1	ENSMUSG00000101878.1	ENSMUSG00000102070.1	ENSMUSG00000102917.1	ENSMUSG00000103998.1	ENSMUSG00000105361.1	ENSMUSG00000105880.1	ENSMUSG00000106037.1	ENSMUSG00000106634.1	ENSMUSG00000107521.1	ENSMUSG00000108473.1	ENSMUSG00000108980.1
16-cell stage blastomere	7.0722	4.9041	6.8437	6.3234	6.3767	6.3757	5.4268	3.693	7.7352	2.9957	8.7217	4.2843	3.0745	6.713	2.9957	3.4007	4.2735	3.4187	5.0583	6.8041	2.9957	3.1556	7.4951	5.1138	3.0431	7.1372	4.033	5.2224	5.1796	3.0888	6.1712	6.5316	5.2859	2.9957	7.9817	9.4317	8.4351	4.389	2.9957	3.4555	6.3976	7.7559	8.2742	8.5913	5.3143	8.0111	2.9957	3.0202	2.9957	2.9957	7.3827	3.6539	2.9957	7.9655	7.8702	2.9957	2.9957	3.0839	2.9957	2.9957	4.0499	3.1566	7.2007	7.8856	8.3533	2.9957	6.9479	2.9957	3.9389	3.169	8.2129	7.5713	2.9957	2.9957	9.1715	7.5721	3.5395	3.07	2.9957	8.2027	5.9612	2.9957	6.7162	5.7758	2.9957	2.9963	3.0261	2.9957	7.2956	3.1788	8.2221	8.6439	7.6595	9.084	2.9957	6.5491	7.9751	2.9957	5.589	2.9957	2.9957	6.6912	2.9957	7.4166	6.0128	4.5592	6.5831	5.3222	6.6202	6.8553	2.9957	5.3506	2.9957	7.7025	7.5598	6.2551	4.6574	2.9957	5.8208	4.6905	2.9957	5.4385	3.0014	2.9995	6.7257	6.8226	5.8275	8.2989	7.9781	2.9957	9.1914	5.3607	7.659	7.4435	6.4378	5.8529	9.7076	6.7364	9.0437	3.9306	3.1211	3.7665	3.1784	3.1293	7.4253	6.3275	5.57	6.0147	7.181	3.3539	9.7344	5.6762	3.3539	2.9957	3.0552	2.9957	3.3539	8.333	6.1976	3.3539	4.4984	3.3539	5.1945	2.9957	2.9957	2.9957	5.9074	7.8591	6.3629	8.5426	6.6101	3.5456	3.5456	7.2546	8.0278	3.0023	6.793	3.2247	3.6198	3.0704	9.8824	5.745	7.9682	3.4686	4.2186	3.8868	7.1511
16-cell stage blastomere	6.7401	3.9791	6.7595	6.5637	5.9907	6.314	5.7059	4.26	7.7596	2.9957	8.4309	4.5447	3.0814	6.6287	2.9957	3.5865	2.9957	3.7707	4.9792	7.0724	2.9957	4.1263	7.2699	5.5091	3.1134	7.2988	4.4368	4.5164	4.7898	4.7894	5.0384	5.1168	2.9957	2.9957	7.2541	9.2941	8.5828	3.8643	3.899	4.0314	5.2631	7.9015	6.889	8.403	5.1802	7.9716	2.9957	3.0107	2.9957	2.9957	7.1597	3.6955	2.9957	7.4342	8.109	2.9957	2.9957	3.1775	2.9957	2.9957	4.0324	3.5826	6.4374	7.1715	8.4534	2.9957	6.4522	2.9957	3.4515	3.6459	8.0248	7.3415	3.5535	2.9957	8.5021	7.563	4.4648	3.8611	2.9957	8.1773	5.8687	2.9957	6.1472	6.0441	2.9957	2.9957	3.6686	2.9957	7.3343	3.9251	8.1129	8.3103	7.8304	8.8593	2.9957	7.1605	7.9807	2.9957	6.2438	2.9957	3.2899	6.6867	2.9957	7.3523	4.9062	5.5637	7.3307	5.616	6.4792	6.9973	2.9957	4.8982	2.9957	7.476	7.2643	5.733	4.3425	2.9957	6.2646	4.9967	2.9957	5.2042	3.9094	3.1117	6.2425	6.3962	5.7827	7.7537	8.2672	2.9957	8.7911	2.9957	7.278	7.5831	6.3344	5.9425	9.0151	6.6593	8.9126	4.9594	3.8784	3.6106	3.7744	3.8947	7.6965	6.2996	5.7007	4.3452	7.9459	3.4328	9.5508	5.4055	3.4328	3.2127	3.2544	3.1647	3.4328	8.0406	6.0303	3.4328	5.6585	3.4328	6.4253	2.9957	3.1647	3.3449	5.4224	7.3558	6.3417	8.8154	5.6848	3.6952	3.6952	6.7003	8.2076	3.0283	6.9077	4.8438	4.1574	3.3194	10.0764	6.1661	7.9072	3.5475	5.1383	5.3662	6.6615
16-cell stage blastomere	7.43	4.7612	6.1561	5.734	6.414	7.0838	6.2942	4.1586	7.7467	3.0095	8.3318	4.178	3.1714	7.1976	2.9957	3.208	2.9985	4.1915	4.2905	6.7584	2.9957	2.9957	7.6866	5.5689	3.1156	7.7329	3.7029	3.0245	3.0641	3.0034	4.8557	6.8934	3.0567	2.9957	7.6004	9.3406	8.5776	4.5708	3.0205	3.8464	7.6805	7.7156	6.4481	8.4856	4.9206	7.729	2.9957	2.9957	2.9957	2.9957	6.715	3.014	2.9957	7.9653	8.4992	2.9957	3.6893	3.198	3.0827	2.9957	3.128	3.1871	6.8118	7.4216	8.3584	2.9957	6.9743	2.9957	3.1054	3.3982	8.1905	7.7528	2.9957	2.9957	8.8797	7.8535	3.5274	3.5671	2.9957	8.2698	5.1413	2.9957	5.8729	5.7756	2.9957	3.0079	2.9957	2.9957	7.2344	5.6341	8.3093	8.4522	7.7768	8.8477	3.0003	6.3142	7.8395	2.9957	5.1987	2.9957	4.1578	6.7597	2.9957	7.3016	5.7592	4.754	7.1493	5.4717	6.4517	6.8093	2.9957	3.525	2.9957	7.9858	7.8858	5.9261	3.9614	2.9957	6.7508	5.5361	2.9957	3.0131	3.8798	2.9957	6.8652	6.1835	6.2319	8.2	8.49	2.9957	8.8604	3.0171	6.9448	7.8384	6.1105	5.5378	9.3518	7.1515	8.902	4.3447	3.0254	3.5269	3.3743	3.6281	7.6594	6.7266	5.2463	6.4369	7.6922	3.7632	9.5703	5.4851	3.7632	2.9957	3.0541	3.6669	3.7632	8.0346	6.3717	3.7632	5.8957	3.7632	6.0452	2.9957	3.6669	3.0496	5.2429	7.9176	6.0383	8.4138	5.8755	4.3612	4.3612	7.0436	8.1425	3.039	7.3323	4.9555	3.8397	3.4864	10.3263	5.7278	8.0405	3.6658	4.258	3.8752	7.1589
16-cell stage blastomere	7.5576	4.701	7.3352	5.9531	6.1977	6.8999	5.4427	3.1196	7.6374	2.9957	8.2111	5.2906	2.9957	7.006	2.9957	4.3545	3.3318	3.8313	4.5957	6.7563	2.9992	4.257	7.5567	6.136	3.3067	7.4527	4.1	3.0083	4.317	3.7437	5.3975	6.447	5.1868	2.9957	7.3001	9.3818	8.4978	4.8868	3.5768	3.6759	7.1719	7.8023	6.7565	8.4471	4.5285	7.6782	3.7765	2.9957	3.0921	3.1644	6.7625	2.9957	2.9957	7.8286	7.9587	3.4529	4.6926	3.1724	2.9957	2.9957	4.4438	3.2342	6.5519	7.5878	8.1559	2.9957	6.8969	2.9957	3.711	3.3184	8.0793	7.9603	3.3821	2.9957	8.9292	7.751	4.6293	2.9957	3.1389	8.1259	5.0105	2.9957	5.9253	6.615	3.0823	2.9994	2.9957	2.9957	7.0048	4.7539	7.9709	8.2867	7.6226	8.8172	2.9957	5.9955	8.4604	2.9957	5.7265	2.9957	4.0794	7.2075	3.0157	7.0751	5.8557	4.7923	6.6968	6.1498	6.7094	6.3369	3.1183	5.4911	2.9957	7.6876	7.707	6.2504	4.6047	2.9957	6.9171	5.8945	2.9957	4.5402	3.6246	2.9957	6.7123	6.905	6.5972	8.1709	8.0526	2.9957	8.658	5.3802	7.2882	7.9577	6.2335	5.6577	9.1172	7.1193	9.0259	5.1155	3.1252	4.0396	3.0966	3.6261	7.2359	6.6879	5.2304	4.551	7.7064	3.2792	9.6849	5.9364	3.2792	3.8197	3.0632	3.3545	3.2792	7.911	5.8185	3.2792	6.7534	3.2792	5.7127	3.0046	3.3545	3.0612	4.7752	7.3618	6.3228	8.477	6.575	3.5023	3.5023	7.5819	8.0319	3.0177	6.1028	4.5094	3.1782	3.0897	10.2091	6.1268	8.2022	3.2523	4.6265	5.4249	7.1934
16-cell stage blastomere	7.6855	5.0213	6.6187	5.869	5.8387	6.4884	5.6287	3.8253	7.8249	3.0249	8.3069	4.2911	2.9957	7.033	2.9957	3.7327	2.9957	3.1686	5.6046	6.8277	2.9957	2.9957	7.8376	5.7583	3.2895	7.0589	3.1638	3.3695	4.9724	3.5048	5.1187	6.0581	2.9957	2.9957	7.3928	9.4396	8.4744	4.3999	3.4183	4.1809	6.9497	7.9213	6.7163	8.425	4.7635	7.9467	3.0047	2.9957	3.4143	2.9957	6.5751	3.6685	2.9957	7.5662	8.3345	2.9957	2.9957	3.2805	2.9957	3.0001	4.2325	3.4887	6.644	7.5435	8.285	2.9957	6.6319	2.9957	4.6036	3.2814	8.2502	7.3714	2.9957	3.0004	8.6898	7.5815	4.1375	2.9957	2.9957	8.4096	5.4492	2.9957	5.9431	5.843	3.7789	2.9957	2.9957	2.9957	7.4192	5.1086	8.3145	8.3456	7.8515	8.7647	3.0065	6.8299	7.7087	2.9957	5.9071	3.0507	2.9957	6.801	2.9957	7.2548	5.7683	4.412	7.3527	5.4153	6.1483	6.4792	2.9988	3.3065	2.9957	7.7121	7.6056	6.1635	4.8103	2.9957	7.0847	4.2352	2.9957	5.133	3.8724	2.9957	5.7834	6.0002	5.7291	7.7873	8.6123	2.9957	8.6707	3.5331	7.5513	7.777	6.135	5.6663	9.3474	6.8862	8.6723	4.8409	3.1545	3.6407	3.6989	3.608	7.457	6.0562	4.5682	6.7106	7.9097	3.2743	9.6929	4.6588	3.2743	2.9957	3.1376	2.9957	3.2743	7.7167	6.3087	3.2743	5.156	3.2743	5.8298	2.9957	2.9957	3.0047	5.1669	7.6841	6.2447	8.5638	6.4365	4.0706	4.0706	7.192	8.1062	2.9959	7.5356	3.0115	3.8639	3.1446	10.1654	6.0706	8.1127	3.9418	4.8493	4.4458	6.8209
16-cell stage blastomere	7.2895	4.9365	6.6247	3.778	5.6277	6.563	5.1177	2.9995	7.4873	3.1239	8.5413	4.5746	2.9957	6.994	2.9957	3.6297	2.9957	3.5701	5.617	6.7723	2.9957	2.9957	7.7836	5.4244	3.0573	7.7478	2.9957	4.105	5.2431	2.9957	5.9989	6.1844	2.9957	2.9957	7.4273	9.2938	8.5297	4.341	2.9957	3.5436	7.1029	7.8938	6.1302	8.4599	4.7295	7.7575	2.9957	3.5473	2.9957	2.9957	6.5624	3.4856	2.9957	7.7101	8.0088	2.9957	2.9957	3.064	2.9957	2.9957	3.8551	3.0861	6.7093	7.6189	8.4984	2.9957	6.6753	3.0041	3.76	3.1899	8.0268	7.7972	2.9957	2.9957	8.7448	7.6079	4.1347	2.9957	2.9957	8.1148	6.2383	2.9957	6.5826	5.5807	3.0529	3.0855	2.9957	2.9957	7.0296	4.5593	8.3299	8.2987	7.835	8.9368	3.0024	7.0425	7.7736	2.9957	6.1581	2.9957	2.9957	6.6569	2.9957	7.2423	5.4512	5.191	7.2602	5.4334	6.5907	6.3062	2.9957	4.8514	2.9957	7.4724	7.1567	5.8049	4.4391	2.9957	6.7566	4.6398	2.9957	5.1077	3.3605	3.0316	6.4071	6.4463	5.8137	7.8037	7.6339	2.9957	8.5986	4.474	7.5603	7.6193	6.3114	5.7089	9.4899	6.8412	8.7948	4.6476	3.0571	3.3115	3.0978	3.9298	7.4778	6.1126	5.5057	6.4951	7.7149	3.4709	9.6357	4.8126	3.4709	2.9957	3.225	2.9957	3.4709	8.3505	6.2395	3.4709	5.8931	3.4709	5.981	2.9957	2.9957	3.0101	6.0938	7.5516	6.2155	8.7233	6.9063	3.7457	3.7457	7.1588	8.0439	3.2023	7.6687	4.6399	4.1431	3.3742	10.0891	5.8028	7.9941	3.5581	4.5152	4.2648	7.0304
16-cell stage blastomere	7.5969	4.3274	6.8943	5.6543	6.2368	6.7476	6.3343	2.9957	7.82	3.2991	8.1336	4.0183	3.007	7.0006	2.9957	3.4033	3.1844	3.6956	5.3184	6.971	2.9957	3.011	7.5337	4.9815	3.0375	7.2838	2.9957	3.961	4.8473	3.3814	5.9803	7.01	4.9647	2.9957	7.3784	9.1693	8.3754	2.9957	2.9957	4.6191	7.5524	7.6231	6.5367	8.6442	4.5886	7.9154	3.327	2.9957	2.9957	2.9957	6.7584	2.9957	2.9957	7.8216	8.5759	2.9957	2.9957	3.0415	2.9957	2.9957	4.2397	3.6611	6.5374	7.357	8.4842	2.9957	6.5282	2.9957	4.054	3.1421	7.8626	7.5112	2.9957	2.9957	8.8318	7.6105	3.5363	2.9957	2.9957	8.1979	4.0727	3.0005	5.98	6.0567	2.9957	2.9968	2.9957	2.9957	7.4434	4.5911	8.4134	8.329	7.8088	8.9634	2.9957	5.8172	8.2005	2.9957	6.0668	2.9957	2.9957	6.9758	2.9957	7.461	5.9939	4.4332	7.0853	5.8077	6.6352	6.5126	2.9957	3.9648	2.9957	7.7484	8.1626	6.0514	4.1977	2.9957	7.3026	4.9822	2.9957	4.9159	3.4863	2.9957	6.5432	6.9065	6.1847	8.1549	8.711	2.9957	8.9376	3.2166	6.8607	7.8084	5.7056	5.2799	9.5445	6.6427	8.8917	3.9968	3.3596	3.6992	3.3916	4.1086	7.5819	6.5941	4.663	6.7288	7.5189	3.5571	9.7939	5.7	3.5571	3.5352	3.1227	3.7886	3.5571	7.7829	5.4479	3.5571	5.7581	3.5571	6.4169	2.9957	3.7886	3.2643	5.8094	7.7855	5.9197	8.7843	6.36	4.3093	4.3093	7.5173	8.3858	2.9965	6.9765	4.8247	4.0745	3.1089	10.4628	6.0877	7.9506	3.4795	3.3679	3.4135	6.8718
16-cell stage blastomere	7.5042	4.7223	6.9048	5.1272	6.4043	6.659	4.9852	3.0045	7.6884	3.0793	8.1049	5.0319	3	6.9588	2.9957	3.9929	3.5227	3.5584	5.6557	6.6426	2.9957	4.0262	7.4582	5.6357	3.1086	7.3716	4.3817	4.2479	4.8513	3.0915	5.6193	6.7999	3.0103	2.9957	7.4287	9.2702	8.3358	4.8529	3.694	3.9798	7.1698	7.732	7.2492	8.409	4.99	7.8745	2.9957	2.9957	4.0237	2.9957	6.7093	3.4942	2.9957	7.6626	8.2723	2.9957	3.8816	3.2144	2.9957	2.9957	4.7532	3.2721	5.845	7.6854	8.3521	2.9957	6.4538	2.9957	4.0098	3.2541	7.9171	7.8201	3.3992	3.021	8.8103	7.521	4.2837	3.4263	2.9957	8.2599	5.3113	2.9985	5.7156	6.439	2.9957	2.9982	2.9993	2.9957	7.1331	5.2206	8.2123	8.3346	7.81	8.7321	3.5655	5.1871	8.1595	2.9957	6.7237	2.9957	3.7164	7.1942	2.9957	7.1583	5.8325	4.6122	7.2843	6.0669	6.8596	6.4386	2.9957	4.94	2.9957	7.831	8.0004	5.9606	4.1283	2.9957	7.2004	5.847	2.9957	4.6723	2.9957	3.0571	6.7854	6.7097	6.3524	8.1526	8.3169	2.9957	8.9258	2.9957	7.6556	7.5479	5.8965	5.4285	9.2153	6.5918	9.0768	4.8901	3.5511	3.6659	3.2152	3.3746	7.5817	6.6883	4.0928	4.6608	7.8396	3.291	9.8552	6.1784	3.291	2.9957	3.2021	3.8214	3.291	8.1516	6.249	3.291	6.5929	3.291	6.4842	2.9957	3.8214	4.5987	5.7805	7.8925	5.9533	8.4313	6.5982	3.6903	3.6903	7.414	8.2656	2.9971	6.8754	3.1491	3.9907	3.3287	10.4588	6.2851	8.2296	3.4473	4.0636	4.4456	7.1972
16-cell stage blastomere	7.0788	4.4238	6.4702	6.0148	6.3523	6.6428	5.8552	2.9957	7.4695	3.1301	8.3055	4.3462	3.0377	6.9013	2.9957	4.1084	3.5412	3.5715	5.1039	7.0014	2.9957	3.0263	7.2268	5.9982	3.1628	6.4993	4.5529	4.6818	5.1043	4.0111	5.8684	6.3375	2.9957	2.9957	6.971	9.7427	8.4307	4.1466	2.9957	4.0174	7.0829	7.9216	8.1675	8.3781	4.7619	7.6735	2.9957	2.9957	4.2182	2.9957	6.7921	3.6906	2.9957	7.5631	8.3295	2.9957	2.9957	3.2377	3.8307	3.253	3.0189	3.2003	6.8133	7.525	8.3138	3.7525	6.0023	2.9957	4.1178	2.9994	8.0895	7.6087	2.9957	3.4893	8.7571	7.7772	4.5857	3.5904	2.9957	8.4161	5.5955	2.9957	6.7292	6.1163	2.9957	2.9963	2.9957	2.9957	7.0244	4.6948	8.2018	8.5528	7.8397	8.6522	2.9957	6.6668	7.8495	2.9957	6.6782	2.9957	3.1594	7.0663	2.9957	6.9893	5.8226	4.1171	7.2404	5.5539	6.2927	6.7408	3.2991	5.0444	2.9957	7.6713	7.7221	5.8996	4.5588	2.9957	6.8855	5.2687	3.0077	5.1767	3.7578	2.9957	6.2714	6.6302	5.5452	8.1391	8.4667	2.9957	8.4908	4.6819	7.5304	7.9049	6.4866	5.8849	9.1709	7.0089	8.7274	5.3208	3.0348	4.1354	3.4846	3.9473	7.5667	6.7298	4.8192	5.4976	7.7735	3.5437	9.6097	4.9029	3.5437	3.1648	3.1517	2.9957	3.5437	7.9378	5.6553	3.5437	5.6205	3.5437	5.8566	2.9957	2.9957	3.189	4.5391	7.8127	6.5086	8.299	6.6534	3.2905	3.2905	7.1124	8.1475	3.0159	7.2698	3.659	4.1188	3.2697	10.309	6.4315	8.1357	3.4221	4.1989	4.8129	7.0434
16-cell stage blastomere	7.1951	4.5147	5.3338	6.9935	6.0343	6.3885	6.5198	3.7477	7.5606	2.9957	8.0802	4.063	3.0073	6.7953	2.9957	3.8246	2.9957	3.4074	5.3841	6.7078	3.6536	2.9979	7.0557	5.7833	3.1169	6.8873	4.738	3.1108	5.3334	4.5194	6.021	5.3092	5.3608	2.9957	7.1375	9.2239	8.2622	3.1845	3.436	3.5038	6.5318	7.7338	7.7024	8.1785	4.2465	7.7512	2.9957	2.9957	2.9957	2.9957	6.9525	4.7399	3.1442	7.3978	8.1641	2.9957	3.9327	3.1312	3.0719	2.9957	3.6171	4.0985	6.4297	7.1821	8.2818	2.9957	6.5428	2.9957	3.9694	3.1994	8.2598	7.7657	3.7571	2.9957	8.8232	7.4968	4.4075	3.5595	2.9957	8.228	5.173	2.9957	6.5384	6.2944	2.9957	2.9957	2.9957	2.9957	7.0048	4.0816	8.136	8.54	7.5637	8.6609	2.9957	6.9926	8.2101	2.9977	5.9265	2.9957	3.7684	7.291	2.9957	7.1262	5.7401	4.5187	6.875	5.7344	6.6123	6.5223	3.6284	6.0689	2.9957	7.4987	6.6512	6.0707	4.2629	2.9957	6.5137	4.456	4.0313	5.2747	3.5909	2.9957	6.3637	6.5524	6.0307	7.7202	8.4524	2.9957	9.0246	4.8329	7.4715	7.6474	6.312	5.8251	9.1442	6.8315	8.7833	4.7966	3.0667	3.6572	3.2843	3.4631	7.346	6.2939	3.9811	5.7076	7.6257	3.2017	9.5688	5.7504	3.2017	2.9957	3.1367	3.3914	3.2017	7.8628	6.209	3.2017	6.0592	3.2017	6.3079	2.9957	3.3914	3.5814	5.9944	7.7693	6.3391	8.4613	6.201	3.2523	3.2523	6.8234	8.1954	3.0149	7.3812	4.6279	4.3279	3.0865	10.5099	6.0285	8.0206	3.6622	4.8244	5.2993	7.1443
